#Org.,Prog.,Econ.,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales
1.0,43200.0,2260601.0,Jornades i Congressos,1.0,4.0,2.0,50000.0
1.0,43200.0,2269900.0,Despeses diverses,1.0,4.0,2.0,3300.0
1.0,43200.0,2270600.0,Estudis i treballs tècnics,1.0,4.0,2.0,3000.0
1.0,43200.0,2301000.0,Dietes personal directiu,1.0,4.0,2.0,1500.0
1.0,43200.0,2312000.0,Indemnització per raó del servei. Quilometratge,1.0,4.0,2.0,500.0
1.0,43200.0,2600000.0,Treballs realitzats per Institucions sense fins de lucre,1.0,4.0,2.0,20000.0
1.0,43200.0,4790000.0,Ajut nominatiu: Set Point Events S.A,1.0,4.0,4.0,423500.0
1.0,43200.0,4790001.0,Ajut nom.: Alpha Entertaiment SL/Menorca Music Festival,1.0,4.0,4.0,15000.0
1.0,43200.0,4890000.0,Aportació a Fundació Foment del Turisme  de Menorca,1.0,4.0,4.0,1158700.0
1.0,43200.0,4890001.0,Ajut nominatiu: Chess Menorca,1.0,4.0,4.0,25000.0
1.0,43200.0,4890002.0,Ajut nominatiu: Club Avarca Menorca,1.0,4.0,4.0,50000.0
1.0,43200.0,4890003.0,Ajut nominatiu: Club Bàsquet Menorca,1.0,4.0,4.0,40000.0
1.0,43200.0,4890004.0,Ajut nominatiu: CMM (copa vaixells època),1.0,4.0,4.0,58000.0
1.0,43200.0,4890005.0,Ajut nominatiu: CMM (Menorca J Class regatta 2024),1.0,4.0,4.0,55000.0
1.0,43200.0,4890006.0,Ajut nominatiu: CMMM (Sant Joan-trofeo Alfonso XII),1.0,4.0,4.0,20000.0
1.0,43200.0,6220000.0,Centre interpretació de s'Enclusa,1.0,4.0,6.0,50000.0
1.0,43200.0,6270000.0,PST 2022: Projecte S’Enclusa a Ferreries,1.0,4.0,6.0,666666.0
1.0,43200.0,7620000.0,Transferències capital ajuntaments,1.0,4.0,7.0,50000.0
1.0,43200.0,7890000.0,Aportació a Fundació Foment del Turisme de Menorca,1.0,4.0,7.0,3656116.04
1.0,91200.0,1000000.0,Retribucions alts càrrecs,,9.0,1.0,641390.57
1.0,91200.0,1010000.0,Retribucions bàsiques del personal de gabinet,,9.0,1.0,98484.33
1.0,91200.0,1100000.0,Retribucions bàsiques i altres del personal eventual,,9.0,1.0,236953.64
1.0,91200.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,9.0,1.0,16972.14
1.0,91200.0,1210000.0,Complement destí personal funcionari de carrera,,9.0,1.0,5961.98
1.0,91200.0,1210100.0,Complement específic personal funcionari de carrera,,9.0,1.0,7631.38
1.0,91200.0,1210300.0,Altres complements personal funcionari de carrera,,9.0,1.0,2308.49
1.0,91200.0,1500000.0,Productivitat personal funcionari de carrera,,9.0,1.0,1996.2
1.0,91200.0,1600000.0,Seguretat Social,,9.0,1.0,312387.33
1.0,91200.0,2130000.0,Manteniment i reparació d'instal·lacions i maquinària,,9.0,2.0,1300.0
1.0,91200.0,2140000.0,Manteniment  d'elements de transport,,9.0,2.0,1000.0
1.0,91200.0,2200000.0,Material d'oficina ordinari,,9.0,2.0,650.0
1.0,91200.0,2200100.0,Subscripcions i publicacions,,9.0,2.0,6000.0
1.0,91200.0,2210300.0,Subministrament de combustible,,9.0,2.0,1000.0
1.0,91200.0,2220000.0,Comunicacions,,9.0,2.0,5000.0
1.0,91200.0,2230000.0,Transports,,9.0,2.0,10000.0
1.0,91200.0,2240000.0,Assegurances,,9.0,2.0,1100.0
1.0,91200.0,2250200.0,Tributs,,9.0,2.0,3000.0
1.0,91200.0,2260100.0,Despeses de protocol,,9.0,2.0,15000.0
1.0,91200.0,2260200.0,Difusió i campanyes de divulgació,,9.0,2.0,70000.0
1.0,91200.0,2269900.0,Despeses diverses,,9.0,2.0,35000.0
1.0,91200.0,2300000.0,Dietes de càrrecs electes òrgans de govern,,9.0,2.0,3000.0
1.0,91200.0,2300001.0,Dietes oposició,,9.0,2.0,1000.0
1.0,91200.0,2301000.0,Dietes directors insulars,,9.0,2.0,1000.0
1.0,91200.0,2302000.0,Indemnitzacions per raó del servei . Dietes,,9.0,2.0,1500.0
1.0,91200.0,2310000.0,Indemnitzacions per raó del servei. Quilometratge,,9.0,2.0,2700.0
1.0,91200.0,4110001.0,CESM,,9.0,4.0,29250.0
1.0,91200.0,4110003.0,Institut Menorquí d'Estudis,,9.0,4.0,925000.0
1.0,91200.0,4890000.0,Subvencions a entitats ciutadanes,,9.0,4.0,30000.0
1.0,91200.0,4890016.0,Subvencions a entitats menorquines,,9.0,4.0,40000.0
1.0,91200.0,4890056.0,Grups polítics,,9.0,4.0,130000.0
1.0,91200.0,4890117.0,Aportació a entitats associatives institucionals,,9.0,4.0,28500.0
1.0,91200.0,6230000.0,"Maquinària, instal·lacions i estris",,9.0,6.0,1000.0
1.0,91200.0,6230001.0,Adquisició equips d'imatge i so (Comunicació),,9.0,6.0,5000.0
1.0,91200.0,6400000.0,Dia de les Illes Balears,,9.0,6.0,30000.0
1.0,92090.0,1207001.0,Retribucions bàsiques personal interí per programes,,9.0,1.0,57570.2
1.0,92090.0,1210001.0,Complement destí personal  interí per programes,,9.0,1.0,20496.95
1.0,92090.0,1210101.0,Complement específic personal  interí per programes,,9.0,1.0,33899.94
1.0,92090.0,1210301.0,Altres complements personal  interí per programes,,9.0,1.0,4662.17
1.0,92090.0,1500001.0,Productivitat personal  interí per programes,,9.0,1.0,9591.08
1.0,92090.0,1600000.0,Seguretat social,,9.0,1.0,39951.74
1.0,92090.0,1620000.0,Formació i perfeccionament del personal,,9.0,1.0,3000.0
1.0,92090.0,2230000.0,Transport,,9.0,2.0,2500.0
1.0,92090.0,2260200.0,Difusió i campanyes de divulgació,,9.0,2.0,15000.0
1.0,92090.0,2302000.0,Indemnitzacions per raó del servei . Dietes,,9.0,2.0,1000.0
1.0,92090.0,2312000.0,Indemnitzacions per raó del servei. Quilometratge,,9.0,2.0,1500.0
1.0,92501.0,1207001.0,Retribucions bàsiques personal funcionari interí,,9.0,1.0,10595.51
1.0,92501.0,1210001.0,Complement destí personal funcionari interí,,9.0,1.0,3716.19
1.0,92501.0,1210101.0,Complement específic personal funcionari interí,,9.0,1.0,4594.4
1.0,92501.0,1210301.0,Altres complements personal funcionari interí,,9.0,1.0,783.36
1.0,92501.0,1500001.0,Productivitat personal funcionari interí,,9.0,1.0,2077.2
1.0,92501.0,1600000.0,Seguretat social,,9.0,1.0,6823.85
1.0,92501.0,2269900.0,Despeses diverses,,9.0,2.0,3000.0
1.0,92501.0,2302000.0,Indemnitzacions per raó del servei . Dietes,,9.0,2.0,1000.0
1.0,92501.0,2312000.0,Indemnitzacions per raó del servei. Quilometratge,,9.0,2.0,1000.0
2.0,1100.0,3520000.0,Interessos de demora,2.0,0.0,3.0,15000.0
2.0,1100.0,3520010.0,Interessos expropiació,2.0,0.0,3.0,50000.0
2.0,41000.0,1010000.0,Retribucions bàsiques personal gabinet,,4.0,1.0,49242.17
2.0,41000.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,4.0,1.0,115347.78
2.0,41000.0,1207001.0,Retribucions bàsiques personal funcionari interí,,4.0,1.0,72148.57
2.0,41000.0,1210000.0,Complement destí personal funcionari de carrera,,4.0,1.0,40969.86
2.0,41000.0,1210001.0,Complement destí personal funcionari interí,,4.0,1.0,24716.49
2.0,41000.0,1210100.0,Complement específic personal funcionari de carrera,,4.0,1.0,49058.86
2.0,41000.0,1210101.0,Complement específic personal funcionari interí,,4.0,1.0,38156.9
2.0,41000.0,1210300.0,Altres complements personal funcionari de carrera,,4.0,1.0,8275.78
2.0,41000.0,1210301.0,Altres complements personal funcionari interí,,4.0,1.0,5446.18
2.0,41000.0,1500000.0,Productivitat personal funcionari de carrera,,4.0,1.0,16064.28
2.0,41000.0,1500001.0,Productivitat personal funcionari interí,,4.0,1.0,12318.6
2.0,41000.0,1600000.0,Seguretat social,,4.0,1.0,125097.71
2.0,41000.0,2120000.0,Manteniment d'edificis i altres,2.0,4.0,2.0,5000.0
2.0,41000.0,2130000.0,Manteniment i reparació d'instal·lacions i maquinària,2.0,4.0,2.0,25000.0
2.0,41000.0,2130100.0,"Manteniment fotocopiadora, fax , etc.",2.0,4.0,2.0,4000.0
2.0,41000.0,2140000.0,Mantenimen elements de transport,2.0,4.0,2.0,7000.0
2.0,41000.0,2210000.0,Subministrament d'energia elèctrica,2.0,4.0,2.0,40000.0
2.0,41000.0,2210100.0,Subministrament d'aigua,2.0,4.0,2.0,9000.0
2.0,41000.0,2210300.0,Subministrament de combustible,2.0,4.0,2.0,7000.0
2.0,41000.0,2211000.0,Subministrament productes desinfecció i neteja,2.0,4.0,2.0,600.0
2.0,41000.0,2219900.0,Subministraments diversos,2.0,4.0,2.0,2000.0
2.0,41000.0,2220000.0,Comunicacions,2.0,4.0,2.0,500.0
2.0,41000.0,2230000.0,Transports,2.0,4.0,2.0,2000.0
2.0,41000.0,2240000.0,Assegurances,2.0,4.0,2.0,3000.0
2.0,41000.0,2250200.0,Tributs,2.0,4.0,2.0,5000.0
2.0,41000.0,2260100.0,Despeses de protocol,2.0,4.0,2.0,500.0
2.0,41000.0,2269902.0,Despeses diverses,2.0,4.0,2.0,4000.0
2.0,41000.0,2312000.0,Indemnitzacions per raó del servei. Quilometartge,2.0,4.0,2.0,3000.0
2.0,41000.0,4891003.0,Conveni Leader,2.0,4.0,4.0,90000.0
2.0,41000.0,7808000.0,Conveni Associació Leader Illa de Menorca,2.0,4.0,7.0,1500.0
2.0,41200.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,4.0,1.0,89634.42
2.0,41200.0,1207001.0,Retribucions bàsiques personal funcionari interí,,4.0,1.0,32614.44
2.0,41200.0,1210000.0,Complement destí personal funcionari de carrera,,4.0,1.0,31654.34
2.0,41200.0,1210001.0,Complement destí personal funcionari interí,,4.0,1.0,11282.1
2.0,41200.0,1210100.0,Complement específic personal funcionari de carrera,,4.0,1.0,43975.83
2.0,41200.0,1210101.0,Complement específic personal funcionari interí,,4.0,1.0,19312.06
2.0,41200.0,1210300.0,Altres complements personal funcionari de carrera,,4.0,1.0,5846.43
2.0,41200.0,1210301.0,Altres complements personal funcionari interí,,4.0,1.0,2534.9
2.0,41200.0,1500000.0,Productivitat personal funcionari de carrera,,4.0,1.0,12297.6
2.0,41200.0,1500001.0,Productivitat personal funcionari interí,,4.0,1.0,5224.32
2.0,41200.0,1600000.0,Seguretat social,,4.0,1.0,69659.56
2.0,41200.0,2220000.0,Comunicacions,2.0,4.0,2.0,200.0
2.0,41200.0,2260200.0,Campanya revisió maquinària fitosanitaris,2.0,4.0,2.0,2000.0
2.0,41200.0,2269900.0,Despeses diverses,2.0,4.0,2.0,5000.0
2.0,41200.0,2269901.0,Enviament analítiques sanitat vegetal i agricultura,2.0,4.0,2.0,3000.0
2.0,41200.0,2302000.0,Indemnitzacions per raó del servei. Dietes,2.0,4.0,2.0,300.0
2.0,41200.0,4110008.0,Conveni OBSAM Agroxerxa,2.0,4.0,4.0,15000.0
2.0,41200.0,4539000.0,"Conveni FOGAIBA, PROVILAC",2.0,4.0,4.0,1000000.0
2.0,41200.0,4890000.0,Ajuts a Organitzacions Professionals Agràries,2.0,4.0,4.0,95000.0
2.0,41200.0,4890001.0,Conveni GOB:  Custòdia del Territori,2.0,4.0,4.0,20000.0
2.0,41200.0,4890002.0,Ajuts per a les agrupacions de defensa vegetal,2.0,4.0,4.0,60000.0
2.0,41200.0,6320000.0,Reparació casetes abans cedides a Ibanat,2.0,4.0,6.0,100000.0
2.0,41200.0,7805400.0,Convocatòria Contracte Agrari Reserva de Biosfera,2.0,4.0,7.0,1100000.0
2.0,41230.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,4.0,1.0,63915.71
2.0,41230.0,1207001.0,Retribucions bàsiques personal funcionari interí,,4.0,1.0,16307.22
2.0,41230.0,1210000.0,Complement destí personal funcionari de carrera,,4.0,1.0,22020.99
2.0,41230.0,1210001.0,Complement destí personal funcionari interí,,4.0,1.0,5641.05
2.0,41230.0,1210100.0,Complement específic personal funcionari de carrera,,4.0,1.0,29403.56
2.0,41230.0,1210101.0,Complement específic personal funcionari interí,,4.0,1.0,9656.03
2.0,41230.0,1210300.0,Altres complements personal funcionari carrera,,4.0,1.0,5327.13
2.0,41230.0,1210301.0,Altres complements personal funcionari interí,,4.0,1.0,1267.45
2.0,41230.0,1300000.0,Retribucions personal laboral fix,,4.0,1.0,53841.96
2.0,41230.0,1310000.0,Retribucions personal laboral temporal,,4.0,1.0,25638.97
2.0,41230.0,1500000.0,Productivitat personal funcionari de carrera,,4.0,1.0,8960.64
2.0,41230.0,1500001.0,Productivitat personal funcionari interí,,4.0,1.0,2612.16
2.0,41230.0,1501000.0,Productivitat personal laboral fix,,4.0,1.0,3697.92
2.0,41230.0,1501001.0,Productivitat personal laboral temporal,,4.0,1.0,1848.96
2.0,41230.0,1600000.0,Seguretat social,,4.0,1.0,72921.66
2.0,41230.0,2120000.0,Manteniment d'edificis i altres,2.0,4.0,2.0,3000.0
2.0,41230.0,2130000.0,Manteniment i reparació d'instal.lacions i maquinària,2.0,4.0,2.0,10000.0
2.0,41230.0,2210300.0,Subministrament de combustible,2.0,4.0,2.0,5000.0
2.0,41230.0,2210400.0,Vestuari,2.0,4.0,2.0,3000.0
2.0,41230.0,2210501.0,Subministrament alimentari ramaderia,2.0,4.0,2.0,20000.0
2.0,41230.0,2210600.0,Subministrament productes farmacèutics,2.0,4.0,2.0,2000.0
2.0,41230.0,2219900.0,Subministraments diversos,2.0,4.0,2.0,2000.0
2.0,41230.0,2230000.0,Transports,2.0,4.0,2.0,300.0
2.0,41230.0,2240000.0,Assegurances,2.0,4.0,2.0,1000.0
2.0,41230.0,2269900.0,Enviament mostres sols agrícoles,2.0,4.0,2.0,1000.0
2.0,41230.0,2269901.0,Despeses diverses,2.0,4.0,2.0,3000.0
2.0,41230.0,4890000.0,Formació i assessorament al sector agrari,2.0,4.0,4.0,30000.0
2.0,41230.0,6230000.0,"Maquinària, instal·lacions tècniques i utillatge",2.0,4.0,6.0,40000.0
2.0,41230.0,6233000.0,Adquisició equipament experimentació,2.0,4.0,6.0,5000.0
2.0,41230.0,6320000.0,Adequació magatzem,2.0,4.0,6.0,20000.0
2.0,41240.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,4.0,1.0,70804.31
2.0,41240.0,1210000.0,Complement destí personal funcionari de carrera,,4.0,1.0,25508.29
2.0,41240.0,1210100.0,Complement específic personal funcionari de carrera,,4.0,1.0,33251.02
2.0,41240.0,1210300.0,Altres complements personal funcionari de carrera,,4.0,1.0,9663.54
2.0,41240.0,1500000.0,Productivitat personal funcionari de carrera,,4.0,1.0,10667.52
2.0,41240.0,1600000.0,Seguretat social,,4.0,1.0,38747.77
2.0,41240.0,2269902.0,Despeses diverses,2.0,4.0,2.0,5000.0
2.0,41240.0,2302000.0,Indemnitzacions per raó del servei. Dietes,2.0,4.0,2.0,500.0
2.0,41240.0,4620000.0,Ajuts escorxadors,2.0,4.0,4.0,50000.0
2.0,41240.0,4890000.0,Foment races autòctones de Menorca,2.0,4.0,4.0,30000.0
2.0,41240.0,4890001.0,Ajut foment apicultura,2.0,4.0,4.0,8500.0
2.0,41240.0,4890002.0,Ajuts foment associacions defensa animal.,2.0,4.0,4.0,65000.0
2.0,41240.0,4890003.0,Suport estudi raça Vaca de la Reina,2.0,4.0,4.0,7000.0
2.0,41240.0,4890004.0,Suport estudi Cans de Conills,2.0,4.0,4.0,7000.0
2.0,41240.0,6230000.0,Equipament inspecció,2.0,4.0,6.0,3000.0
2.0,41240.0,7620000.0,Ajuts escorxadors,2.0,4.0,7.0,50000.0
2.0,41500.0,1207000.0,Retribucions  bàsiques personal funcionari de carrera,,4.0,1.0,76862.6
2.0,41500.0,1207001.0,Retribucions bàsiques personal funcionari interí,,4.0,1.0,31359.68
2.0,41500.0,1210000.0,Complement destí personal funcionari de carrera,,4.0,1.0,26723.23
2.0,41500.0,1210001.0,Complement destí personal funcionari interí,,4.0,1.0,12687.13
2.0,41500.0,1210100.0,Complement específic personal funcionari de carrera,,4.0,1.0,55210.71
2.0,41500.0,1210101.0,Complement específic personal funcionari interí,,4.0,1.0,24840.92
2.0,41500.0,1210300.0,Altres complements personal funcionari de carrera,,4.0,1.0,7892.73
2.0,41500.0,1210301.0,Altres complements personal funcionari interí,,4.0,1.0,2612.01
2.0,41500.0,1500000.0,Productivitat personal funcionari de carrera,,4.0,1.0,11374.92
2.0,41500.0,1500001.0,Productivitat personal funcionari interí,,4.0,1.0,4608.36
2.0,41500.0,1600000.0,Seguretat social,,4.0,1.0,71905.63
2.0,41500.0,2140000.0,Manteniment  d'elements de transport,2.0,4.0,2.0,21000.0
2.0,41500.0,2210300.0,Subministrament de combustible,2.0,4.0,2.0,10000.0
2.0,41500.0,2240000.0,Assegurances,2.0,4.0,2.0,1500.0
2.0,41500.0,2270600.0,Prova pilot inspecció drons,2.0,4.0,2.0,20000.0
2.0,41500.0,4890001.0,Associació Leader - gestió del fons FEMP,2.0,4.0,4.0,30000.0
2.0,41500.0,4890032.0,Ajuts a les confraries de pesca,2.0,4.0,4.0,182000.0
2.0,41500.0,6230000.0,Equipaments per inspecció,2.0,4.0,6.0,3000.0
2.0,41500.0,6240000.0,Adquisició de barca per inspecció,2.0,4.0,6.0,50000.0
2.0,41900.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,4.0,1.0,32048.76
2.0,41900.0,1210000.0,Complement destí personal funcionari de carrera,,4.0,1.0,10961.17
2.0,41900.0,1210100.0,Complement específic personal funcionari de carrera,,4.0,1.0,14250.43
2.0,41900.0,1210300.0,Altres complements personal funcionari de carrera,,4.0,1.0,2292.66
2.0,41900.0,1500000.0,Productivitat personal funcionari de carrera,,4.0,1.0,4689.36
2.0,41900.0,1600000.0,Seguretat social,,4.0,1.0,16128.25
2.0,41900.0,2260200.0,Campanyes Producte elaborat a Menorca,2.0,4.0,2.0,60000.0
2.0,41900.0,2269900.0,Organització Fira Agroalimentària Made in Menorca,2.0,4.0,2.0,110000.0
2.0,41900.0,2270600.0,Pla promoció producte local - Made in Menorca,2.0,4.0,2.0,50000.0
2.0,41900.0,2270601.0,Regió Gastronòmica,2.0,4.0,2.0,50000.0
2.0,41900.0,4620000.0,Conveni Ajuntament d'Alaior: Fira del Camp,2.0,4.0,4.0,15000.0
2.0,41900.0,4890000.0,Conveni Consell Reg. D.OQueso Mahón - Menorca,2.0,4.0,4.0,300000.0
2.0,41900.0,4890001.0,"Ajuts cooperatives agràries: promoció, formació i asses.",2.0,4.0,4.0,188000.0
2.0,41900.0,4890003.0,Assoc.Criadors i Prop.Cavall Raça Menorq.:Fira Cavall,2.0,4.0,4.0,30000.0
2.0,41900.0,4890005.0,Foment productes agricultura ecològica i de custòdia,2.0,4.0,4.0,29000.0
2.0,41900.0,4890007.0,Assoc.ramaders bestiar boví raça de Menorca,2.0,4.0,4.0,15000.0
2.0,41900.0,4890009.0,Conveni Associació VIMENORCA,2.0,4.0,4.0,12000.0
2.0,41900.0,4890010.0,Conveni Associació Productors d’Oli de Menorca,2.0,4.0,4.0,10000.0
2.0,41900.0,4890011.0,Conveni Associació de l’ovella autòctona de Menorca,2.0,4.0,4.0,6000.0
2.0,41900.0,7890000.0,Ajuts foment productes agricultura ecològica i cust.,2.0,4.0,7.0,3000.0
2.0,41910.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,4.0,1.0,13410.63
2.0,41910.0,1210000.0,Complement destí personal funcionari de carrera,,4.0,1.0,4678.62
2.0,41910.0,1210100.0,Complement específic personal funcionari de carrera,,4.0,1.0,9110.94
2.0,41910.0,1210300.0,Altres complements personal funcionari de carrera,,4.0,1.0,1157.78
2.0,41910.0,1500000.0,Productivitat personal funcionari de carrera,,4.0,1.0,1996.2
2.0,41910.0,1600000.0,Seguretat social,,4.0,1.0,7846.55
2.0,41910.0,2210300.0,Subministrament combustible,2.0,4.0,2.0,3000.0
2.0,41910.0,2269900.0,Despeses diverses,2.0,4.0,2.0,2000.0
2.0,41910.0,2270601.0,Suport elaboració reglament caça i plans cinegètics,2.0,4.0,2.0,20000.0
2.0,41910.0,4890000.0,Ajuts en matèria cinegètica,2.0,4.0,4.0,15000.0
2.0,43900.0,4620008.0,Transf.ajuntam. per dinamitz.comercial centres urbans,2.0,4.0,4.0,108000.0
2.0,43900.0,4790000.0,Ajuts  al teixit empresarial i associatiu de Menorca,2.0,4.0,4.0,400000.0
2.0,43900.0,4890001.0,Cànon SEBIME i POIMA,2.0,4.0,4.0,90000.0
2.0,43900.0,4890002.0,Conveni SEBIME: Promoció i comercialització,2.0,4.0,4.0,70000.0
2.0,43900.0,4890003.0,Conveni amb l'Associació de Fabricants de Calçat,2.0,4.0,4.0,70000.0
2.0,43900.0,4890004.0,Conveni amb l'Associació de Comerciants de Menorca,2.0,4.0,4.0,30000.0
2.0,43900.0,4890005.0,Conveni amb Cambra Comerç de Menorca,2.0,4.0,4.0,268000.0
2.0,43900.0,7700001.0,Ajuts al teixit empresarial i associatiu de Menorca,2.0,4.0,7.0,500000.0
2.0,43910.0,1207001.0,Retribucions bàsiques personal funcionari interí,,4.0,1.0,10871.48
2.0,43910.0,1210001.0,Complement destí personal funcionari interí,,4.0,1.0,3760.7
2.0,43910.0,1210101.0,Complement específic personal funcionari interí,,4.0,1.0,6437.35
2.0,43910.0,1210301.0,Altres complements personal funcionari interí,,4.0,1.0,844.97
2.0,43910.0,1500001.0,Productivitat personal funcionari interí,,4.0,1.0,1741.44
2.0,43910.0,1600000.0,Seguretat Social,,4.0,1.0,8338.72
2.0,43910.0,2260600.0,Tallers,2.0,4.0,2.0,20000.0
2.0,43910.0,2269900.0,Despeses diverses,2.0,4.0,2.0,2000.0
2.0,43910.0,2269901.0,Despeses comissions,2.0,4.0,2.0,2000.0
2.0,43910.0,2269907.0,Exposicions,2.0,4.0,2.0,20000.0
2.0,43910.0,4790002.0,Ajut a associacions d'artesans de Menorca,2.0,4.0,4.0,10000.0
2.0,46200.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,4.0,1.0,19282.95
2.0,46200.0,1210000.0,Complement destí personal funcionari de carrera,,4.0,1.0,6763.33
2.0,46200.0,1210100.0,Complement específic personal funcionari de carrera,,4.0,1.0,10045.39
2.0,46200.0,1210300.0,Altres complements personal funcionari de carrera,,4.0,1.0,1267.45
2.0,46200.0,1500000.0,Productivitat personal funcionari de carrera,,4.0,1.0,2612.16
2.0,46200.0,1600000.0,Seguretat social,,4.0,1.0,13090.6
2.0,46200.0,2130070.0,Manteniment instal·lacions fibra òptica,2.0,4.0,2.0,5000.0
2.0,46200.0,2210000.0,Subministrament d'energia elèctrica,2.0,4.0,2.0,7500.0
2.0,46200.0,2230000.0,Transports,2.0,4.0,2.0,900.0
2.0,46200.0,2260600.0,Programes i accions per al foment de la tecnologia,2.0,4.0,2.0,30000.0
2.0,46200.0,2279900.0,Encomana SILME gestió i mantenim.xarxa fibra òptica,2.0,4.0,2.0,122000.0
2.0,46200.0,4890001.0,Conveni Centre BIT Menorca,2.0,4.0,4.0,30000.0
2.0,46200.0,6191003.0,Millores i grans reparacions xarxa fibra òptica,2.0,4.0,6.0,12000.0
2.0,46200.0,6270000.0,Smart Island,2.0,4.0,6.0,339105.02
2.0,92000.0,1010000.0,Retribucions bàsiques personal gabinet,,9.0,1.0,49242.17
2.0,92000.0,1207000.0,Retribucions bàsiques personal funcionari de carrera,,9.0,1.0,88529.27
2.0,92000.0,1207001.0,Retribucions bàsiques personal funcionari interí,,9.0,1.0,56993.23
2.0,92000.0,1210000.0,Complement destí personal funcionari de carrera,,9.0,1.0,30490.34
2.0,92000.0,1210001.0,Complement destí personal funcionari interí,,9.0,1.0,8000.74
2.0,92000.0,1210100.0,Complement específic personal funcionari carrera,,9.0,1.0,44386.6
2.0,92000.0,1210101.0,Complement específic personal funcionari interí,,9.0,1.0,11602.82
2.0,92000.0,1210300.0,Altres complements personal funcionari de carrera,,9.0,1.0,5930.27
2.0,92000.0,1210301.0,Altres complements personal funcionari interí,,9.0,1.0,1884.9
2.0,92000.0,1500000.0,Productivitat personal funcionari de carrera,,9.0,1.0,12853.56
2.0,92000.0,1500001.0,Productivitat personal funcionari interí,,9.0,1.0,3774.12
2.0,92000.0,1600000.0,Seguretat social,,9.0,1.0,90327.2
2.0,92000.0,2120000.0,Manteniment edificis,,9.0,2.0,4500.0
2.0,92000.0,2130000.0,Manteniment i reparació d'instal·lacions i maquinària,,9.0,2.0,58000.0
2.0,92000.0,2140000.0,Manteniment elements de transport,,9.0,2.0,1200.0
2.0,92000.0,2200000.0,Material d'oficina ordinari i consumibles,,9.0,2.0,40000.0
2.0,92000.0,2200100.0,Subscripcions i publicacions,,9.0,2.0,11800.0
2.0,92000.0,2210000.0,Subministraments d'energia elèctrica,,9.0,2.0,170000.0
2.0,92000.0,2210100.0,Subministraments d'aigua,,9.0,2.0,6500.0
2.0,92000.0,2210300.0,Subministrament combustible,,9.0,2.0,1500.0
2.0,92000.0,2219900.0,Subministraments diversos,,9.0,2.0,30000.0
2.0,92000.0,2220000.0,Comunicacions,,9.0,2.0,98000.0
2.0,92000.0,2229900.0,"Servei de valisa, missatgeria i correus",,9.0,2.0,70000.0
2.0,92000.0,2230000.0,Transports,,9.0,2.0,700.0
2.0,92000.0,2240000.0,Assegurances,,9.0,2.0,2000.0
2.0,92000.0,2250200.0,Tributs,,9.0,2.0,52000.0
2.0,92000.0,2260100.0,Despeses de protocol,,9.0,2.0,150.0
2.0,92000.0,2260400.0,Despeses jurídiques,,9.0,2.0,2500.0
